number,name,comb
640,343303,0.00019637145002
641,102285,3.0195000003e-09
642,5325422,8.06850000081e-09
643,9476,1.54440000015e-08
644,144531,0.0
645,1203682,9.65250000097e-07
646,53647882,9.90000000099e-09
647,737855,8.16750000082e-09
648,487561,4.9698000005e-08
649,28351,7.42500000074e-10
650,15452060,4.46490000045e-06
651,19617355,0.0
652,1713157,1.08256500011e-07
653,220973,0.0
654,4033275,0.0
655,10866511,9.60300000096e-09
656,158621,1.58400000016e-09
657,172053,0.0
658,54052,9.0088515009e-06
659,56371,0.0
660,328925,1.08900000011e-09
661,624139,0.0
662,12066367,0.0
663,6327490,0.301371305381
664,278095,0.0
665,23256802,1.0395000001e-09
666,44483,2.89080000029e-08
667,114989,1.79190000018e-08
668,526733,2.62350000026e-09
669,466394,3.9600000004e-10
670,379109,0.000157325850016
671,8177,0.020091069902
672,173189,0.394614504939
673,22938,0.00351549990035
674,367121,4.19116500042e-07
675,218058,2.82150000028e-09
676,22177314,4.25700000043e-09
677,239338,3.67785000037e-08
678,78609,0.0
679,3774553,8.91000000089e-10
680,96515,2.74556700027e-06
681,214914,8.81100000088e-09
682,377641,1.34145000013e-08
683,299982,1.23849000012e-05
684,7284,9.40599000094e-05
685,10103703,5.64102000056e-07
686,216713,8.21700000082e-09
687,124098,1.48500000015e-10
688,1605244,1.79685000018e-08
689,6423147,0.0
690,9894200,0.0
691,3005714,8.21700000082e-09
692,11120033,0.479952999948
693,618221,0.0
694,210905,1.92060000019e-08
695,452119,0.0
696,3963050,3.40065000034e-08
697,20257,0.0
698,596424,2.62350000026e-09
699,57295402,0.0
700,320764,3.16354500032e-07
701,849447,0.0
702,233968,0.0
703,339410,3.46500000035e-10
704,331186,1.58400000016e-08
705,580260,0.0
706,1133539,4.15800000042e-09
707,389112,6.78100500068e-07
708,285001,1.83150000018e-09
709,259789,0.0
710,150767,1.16770500012e-07
711,108685,5.09850000051e-09
712,1032147,0.0
713,148966,2.05573500021e-07
714,378285,8.66250000087e-09
715,554897,7.27650000073e-09
716,18950180,0.0
717,20652982,2.9700000003e-09
718,165182,1.38600000014e-09
719,564262,5.49450000055e-08
720,19089463,3.76200000038e-09
721,4730667,0.0
722,284362,4.28571000043e-07
723,596005,2.41065000024e-08
724,3797504,2.52450000025e-08
725,648885,0.0
726,528883,8.51400000085e-09
727,2753596,0.0
728,39614,0.0
729,262756,5.24700000052e-09
730,22899108,3.34125000033e-08
731,10587561,1.9800000002e-10
732,620715,5.25640500053e-07
733,612602,3.9600000004e-10
734,3049818,2.27700000023e-09
735,533565,9.80100000098e-09
736,335158,0.0
737,142,1.41322500014e-07
738,1034119,2.67300000027e-09
739,10028329,0.0
740,971379,4.38570000044e-06
741,134644,7.92000000079e-10
742,567791,2.9700000003e-10
743,383376,1.87456500019e-07
744,1483372,0.0
745,1210550,3.53925000035e-08
746,5231216,0.0
747,311534,0.0
748,340171,8.39401200084e-06
749,8879,9.999990001e-05
750,585318,8.91000000089e-10
751,2722245,0.0
752,169842,0.000116848561512
753,87851,2.24730000022e-08
